UniProt_ID,target_chembl_id,SLC_name,family
P43005,CHEMBL2721,SLC1A1,SLC1
P43004,CHEMBL4973,SLC1A2,SLC1
P43003,CHEMBL3085,SLC1A3,SLC1
P43007,CHEMBL2315,SLC1A4,SLC1
Q15758,CHEMBL3562162,SLC1A5,SLC1
P11166,CHEMBL2535,SLC2A1,SLC2
P11168,CHEMBL5873,SLC2A2,SLC2
P11169,CHEMBL5215,SLC2A3,SLC2
P14672,CHEMBL5874,SLC2A4,SLC2
P22732,CHEMBL5875,SLC2A5,SLC2
Q9NY64,CHEMBL4295964,SLC2A8,SLC2
Q9NRM0,CHEMBL2052034,SLC2A9,SLC2
Q8TDB8,CHEMBL4295906,SLC2A14,SLC2
Q9Y6M7,CHEMBL3774290,SLC4A7,SLC4
P13866,CHEMBL4979,SLC5A1,SLC5
P31639,CHEMBL3884,SLC5A2,SLC5
Q9NY91,CHEMBL1770047,SLC5A4,SLC5
Q9GZV3,CHEMBL4507,SLC5A7,SLC5
Q8WWX8,CHEMBL1744524,SLC5A11,SLC5
P30531,CHEMBL1903,SLC6A1,SLC6
P23975,CHEMBL222,SLC6A2,SLC6
Q01959,CHEMBL238,SLC6A3,SLC6
P31645,CHEMBL228,SLC6A4,SLC6
Q9Y345,CHEMBL3060,SLC6A5,SLC6
P31641,CHEMBL5762,SLC6A6,SLC6
Q99884,CHEMBL3317335,SLC6A7,SLC6
P48029,CHEMBL5209634,SLC6A8,SLC6
P48067,CHEMBL2337,SLC6A9,SLC6
P48066,CHEMBL5208,SLC6A11,SLC6
P48065,CHEMBL3715,SLC6A12,SLC6
Q9NSD5,CHEMBL4535,SLC6A13,SLC6
Q9UN76,CHEMBL4680044,SLC6A14,SLC6
Q9H2J7,CHEMBL3351189,SLC6A15,SLC6
Q8WY07,CHEMBL5209633,SLC7A3,SLC7
Q01650,CHEMBL4459,SLC7A5,SLC7
Q9UHI5,CHEMBL4301,SLC7A8,SLC7
Q9UPY5,CHEMBL1075149,SLC7A11,SLC7
P32418,CHEMBL4076,SLC8A1,SLC8
Q6J4K2,CHEMBL3763001,SLC8B1,SLC8
P19634,CHEMBL2781,SLC9A1,SLC9
Q9UBY0,CHEMBL3133,SLC9A2,SLC9
P48764,CHEMBL3273,SLC9A3,SLC9
Q14940,CHEMBL3058,SLC9A5,SLC9
Q86UD5,CHEMBL5209631,SLC9B2,SLC9
Q14973,CHEMBL5287,SLC10A1,SLC10
Q12908,CHEMBL2778,SLC10A2,SLC10
P49279,CHEMBL2052040,SLC11A1,SLC11
P49281,CHEMBL1932895,SLC11A2,SLC11
Q13621,CHEMBL1874,SLC12A1,SLC12
P55011,CHEMBL1615383,SLC12A2,SLC12
P55017,CHEMBL1876,SLC12A3,SLC12
Q9H2X9,CHEMBL1615384,SLC12A5,SLC12
Q13183,CHEMBL3712851,SLC13A2,SLC13
Q8WWT9,CHEMBL3712947,SLC13A3,SLC13
Q86YT5,CHEMBL3769293,SLC13A5,SLC13
Q13336,CHEMBL2390814,SLC14A1,SLC14
P46059,CHEMBL4605,SLC15A1,SLC15
Q16348,CHEMBL1743125,SLC15A2,SLC15
P53985,CHEMBL4360,SLC16A1,SLC16
O15427,CHEMBL2073663,SLC16A3,SLC16
O60669,CHEMBL2073704,SLC16A7,SLC16
O95907,CHEMBL3308921,SLC16A8,SLC16
Q14916,CHEMBL3769298,SLC17A1,SLC17
O00624,CHEMBL3769300,SLC17A2,SLC17
Q9NRA2,CHEMBL4630859,SLC17A5,SLC17
P54219,CHEMBL1838,SLC18A1,SLC18
Q05940,CHEMBL1893,SLC18A2,SLC18
Q16572,CHEMBL4767,SLC18A3,SLC18
P41440,CHEMBL4833,SLC19A1,SLC19
O60779,CHEMBL3079,SLC19A2,SLC19
Q8WUM9,CHEMBL4295909,SLC20A1,SLC20
Q08357,CHEMBL4295806,SLC20A2,SLC20
