target_name,Compounds,ST-DNN (Q²),ST-DNN (MSE)
SLC10A1,47,0.062 ± 1.015,0.693 ± 0.196
SLC10A2,231,0.452 ± 0.238,0.710 ± 0.265
SLC11A2,42,-5.065 ± 7.916,0.550 ± 0.551
SLC15A1,14,-6005.621 ± 7229.414,4.167 ± 4.909
SLC16A3,12,-34.527 ± 37.945,9.551 ± 10.406
SLC18A2,19,-8.726 ± 6.474,3.987 ± 1.325
SLC18A3,79,0.008 ± 0.538,0.519 ± 0.083
SLC19A1,22,-66.792 ± 108.516,2.864 ± 1.726
SLC1A1,74,0.116 ± 0.284,0.445 ± 0.139
SLC1A2,91,0.487 ± 0.349,0.440 ± 0.202
SLC1A3,109,0.211 ± 0.162,0.443 ± 0.175
SLC1A5,23,-6.160 ± 7.903,1.151 ± 1.634
SLC22A1,84,-1.305 ± 1.574,0.381 ± 0.142
SLC22A12,443,0.521 ± 0.084,0.381 ± 0.091
SLC22A2,54,-2.585 ± 4.034,1.030 ± 0.774
SLC22A3,26,-1.836 ± 2.333,1.597 ± 1.381
SLC22A6,40,-0.631 ± 1.256,0.465 ± 0.319
SLC22A8,22,-12.050 ± 8.857,1.837 ± 0.536
SLC27A1,38,-2.308 ± 1.320,0.601 ± 0.506
SLC27A4,27,-7.240 ± 14.314,0.348 ± 0.163
SLC28A2,35,-1.325 ± 0.777,0.822 ± 0.681
SLC29A1,140,0.365 ± 0.204,0.777 ± 0.359
SLC2A1,562,0.293 ± 0.178,0.378 ± 0.115
SLC2A2,34,-1.141 ± 1.054,0.989 ± 1.282
SLC2A3,89,-0.682 ± 0.652,0.549 ± 0.191
SLC33A1,131,-2.866 ± 3.151,0.036 ± 0.023
SLC34A2,68,-0.595 ± 1.552,0.352 ± 0.188
SLC37A4,17,-5.303 ± 6.055,3.502 ± 2.251
SLC40A1,397,0.407 ± 0.126,0.415 ± 0.072
SLC46A1,28,-2.922 ± 3.610,0.797 ± 0.688
SLC47A1,42,-5.216 ± 2.823,1.944 ± 0.490
SLC47A2,22,-8.541 ± 6.298,1.571 ± 0.937
SLC5A1,975,0.795 ± 0.021,0.339 ± 0.034
SLC5A2,1173,0.696 ± 0.052,0.389 ± 0.064
SLC5A4,28,0.428 ± 0.587,0.364 ± 0.397
SLC5A7,18,-9.773 ± 4.424,2.879 ± 2.043
SLC65A2,97,-0.138 ± 0.495,0.579 ± 0.518
SLC6A1,43,-1.581 ± 1.341,1.540 ± 1.018
SLC6A11,23,-4.423 ± 5.174,1.767 ± 1.736
SLC6A12,15,-37.855 ± 70.495,1.565 ± 1.122
SLC6A15,28,-0.810 ± 0.442,0.171 ± 0.062
SLC6A2,1616,0.582 ± 0.043,0.515 ± 0.056
SLC6A3,1304,0.621 ± 0.064,0.428 ± 0.067
SLC6A4,2254,0.607 ± 0.049,0.450 ± 0.079
SLC6A5,107,0.193 ± 0.297,0.481 ± 0.201
SLC6A7,49,0.081 ± 0.500,0.478 ± 0.249
SLC6A9,574,0.523 ± 0.094,0.529 ± 0.064
SLC7A11,22,-1.587 ± 2.862,2.115 ± 1.943
SLC7A5,26,-9.555 ± 10.105,1.815 ± 2.843
SLC8A1,320,0.001 ± 0.275,0.182 ± 0.037
SLC9A1,236,0.570 ± 0.072,0.529 ± 0.178
SLC9A3,265,0.270 ± 0.182,0.568 ± 0.212
SLCO1B1,128,-0.432 ± 0.791,0.469 ± 0.183
SLCO1B3,92,-0.820 ± 0.828,0.589 ± 0.331
