target_name,Compounds,ST-RF (Q²),ST-RF (MSE)
SLC10A1,47,0.446 ± 0.233,0.656 ± 0.334
SLC10A2,231,0.453 ± 0.153,0.722 ± 0.221
SLC11A2,42,-0.110 ± 0.266,0.132 ± 0.039
SLC15A1,14,-962.730 ± 1100.560,1.059 ± 0.420
SLC16A3,12,-22.157 ± 32.519,2.250 ± 1.945
SLC18A2,19,-0.660 ± 1.339,0.677 ± 0.389
SLC18A3,79,-0.125 ± 0.319,0.720 ± 0.288
SLC19A1,22,-10.617 ± 15.402,0.401 ± 0.201
SLC1A1,74,0.198 ± 0.038,0.432 ± 0.124
SLC1A2,91,0.555 ± 0.117,0.430 ± 0.149
SLC1A3,109,-0.261 ± 0.475,0.730 ± 0.408
SLC1A5,23,-0.707 ± 0.554,0.381 ± 0.249
SLC22A1,84,-0.210 ± 0.174,0.263 ± 0.137
SLC22A12,443,0.560 ± 0.026,0.352 ± 0.066
SLC22A2,54,-2.195 ± 2.327,1.109 ± 0.459
SLC22A3,26,-0.749 ± 0.667,0.890 ± 0.489
SLC22A6,40,0.047 ± 0.158,0.311 ± 0.131
SLC22A8,22,-1.280 ± 1.187,0.465 ± 0.315
SLC27A1,38,-0.564 ± 0.939,0.270 ± 0.175
SLC27A4,27,-17.641 ± 33.550,0.569 ± 0.212
SLC28A2,35,-1.504 ± 1.449,0.641 ± 0.287
SLC29A1,140,0.496 ± 0.108,0.629 ± 0.261
SLC2A1,562,0.500 ± 0.071,0.268 ± 0.059
SLC2A2,34,-0.211 ± 0.568,0.430 ± 0.348
SLC2A3,89,-0.069 ± 0.264,0.357 ± 0.111
SLC33A1,131,0.086 ± 0.198,0.010 ± 0.003
SLC34A2,68,-0.052 ± 0.294,0.286 ± 0.070
SLC37A4,17,-0.084 ± 1.141,0.951 ± 0.640
SLC40A1,397,0.483 ± 0.050,0.365 ± 0.042
SLC46A1,28,-1.937 ± 2.774,0.417 ± 0.144
SLC47A1,42,-0.513 ± 0.683,0.536 ± 0.278
SLC47A2,22,-0.218 ± 0.387,0.255 ± 0.247
SLC5A1,975,0.799 ± 0.025,0.331 ± 0.035
SLC5A2,1173,0.679 ± 0.046,0.411 ± 0.055
SLC5A4,28,0.667 ± 0.201,0.198 ± 0.114
SLC5A7,18,-0.277 ± 0.330,0.337 ± 0.197
SLC65A2,97,0.292 ± 0.182,0.351 ± 0.271
SLC6A1,43,-0.159 ± 0.321,0.657 ± 0.147
SLC6A11,23,-0.805 ± 1.010,0.412 ± 0.154
SLC6A12,15,-7.319 ± 15.575,0.309 ± 0.251
SLC6A15,28,-0.460 ± 0.806,0.131 ± 0.057
SLC6A2,1616,0.553 ± 0.045,0.552 ± 0.075
SLC6A3,1304,0.535 ± 0.038,0.526 ± 0.043
SLC6A4,2254,0.544 ± 0.037,0.521 ± 0.074
SLC6A5,107,0.356 ± 0.112,0.385 ± 0.128
SLC6A7,49,0.012 ± 0.334,0.501 ± 0.190
SLC6A9,574,0.542 ± 0.064,0.514 ± 0.075
SLC7A11,22,0.309 ± 0.371,1.028 ± 0.566
SLC7A5,26,-0.071 ± 0.485,0.169 ± 0.097
SLC8A1,320,0.179 ± 0.074,0.159 ± 0.055
SLC9A1,236,0.530 ± 0.041,0.575 ± 0.162
SLC9A3,265,0.086 ± 0.251,0.677 ± 0.117
SLCO1B1,128,-0.541 ± 0.271,0.534 ± 0.075
SLCO1B3,92,-0.013 ± 0.151,0.316 ± 0.109
